date_stamp,number_of_sampled_rhizome,number_internodes_in_rhizome,new_leaves_number,number_final_branches,number_initial_branches,new_branches_per_branch,date
730659,16,27,1,3,3,0,2000-06-22
730659,18,32,3,1,3,-0.666666667,2000-06-22
730659,20,12,2,1,3,-0.666666667,2000-06-22
730673,1,18,3,2,3,-0.333333333,2000-07-06
730673,2,21,1,2,2,0,2000-07-06
730673,3,16,2,1,1,0,2000-07-06
730673,5,23,3,4,3,0.333333333,2000-07-06
730673,7,15,2,2,3,-0.333333333,2000-07-06
730673,14,11,4,2,2,0,2000-07-06
730673,16,16,1,3,3,0,2000-07-06
730673,19,22,2,2,3,-0.333333333,2000-07-06
730687,1,26,2,16,8,1,2000-07-20
730687,3,25,2,6,2,2,2000-07-20
730687,4,13,3,7,3,1.333333333,2000-07-20
730687,5,24,2,5,4,0.25,2000-07-20
730687,6,20,3,5,3,0.666666667,2000-07-20
730687,7,12,2,4,2,1,2000-07-20
730687,8,11,2,6,4,0.5,2000-07-20
730687,9,26,3,3,2,0.5,2000-07-20
730687,10,10,3,9,4,1.25,2000-07-20
730687,13,18,3,10,4,1.5,2000-07-20
730687,14,11,3,5,2,1.5,2000-07-20
730687,18,21,2,2,3,-0.333333333,2000-07-20
730701,1,23,1,3,2,0.5,2000-08-03
730701,2,13,2,4,1,3,2000-08-03
730701,3,21,2,3,2,0.5,2000-08-03
730701,5,20,3,5,1,4,2000-08-03
730701,6,19,3,3,2,0.5,2000-08-03
730701,7,16,3,4,1,3,2000-08-03
730701,9,13,3,4,1,3,2000-08-03
730701,10,28,1,5,1,4,2000-08-03
730701,12,21,3,4,1,3,2000-08-03
730701,13,18,2,7,1,6,2000-08-03
730701,14,16,2,4,1,3,2000-08-03
730701,15,12,1,3,1,2,2000-08-03
730701,16,16,3,2,1,1,2000-08-03
730701,17,29,2,4,2,1,2000-08-03
730701,18,13,2,3,2,0.5,2000-08-03
730701,19,17,1,3,2,0.5,2000-08-03
730701,20,18,2,6,3,1,2000-08-03
730715,6,21,1,5,6,-0.166666667,2000-08-17
730715,10,19,2,5,2,1.5,2000-08-17
730715,13,17,1,3,5,-0.4,2000-08-17
730715,15,22,3,3,5,-0.4,2000-08-17
730715,16,16,1,5,3,0.666666667,2000-08-17
730715,17,27,1,3,3,0,2000-08-17
730715,18,31,3,6,5,0.2,2000-08-17
730729,1,10,3,3,2,0.5,2000-08-31
730729,2,18,1,10,6,0.666666667,2000-08-31
730729,3,26,3,3,1,2,2000-08-31
730729,4,25,2,4,6,-0.333333333,2000-08-31
730729,5,10,1,5,5,0,2000-08-31
730729,6,21,2,5,7,-0.285714286,2000-08-31
730729,7,20,2,4,2,1,2000-08-31
730729,8,10,1,2,2,0,2000-08-31
730729,9,18,2,3,4,-0.25,2000-08-31
730729,10,12,4,5,3,0.666666667,2000-08-31
730729,11,21,3,4,3,0.333333333,2000-08-31
730729,12,23,3,3,1,2,2000-08-31
730758,2,11,2,7,2,2.5,2000-09-29
730758,5,15,2,7,3,1.333333333,2000-09-29
730758,9,13,4,10,2,4,2000-09-29
730758,11,14,1,9,2,3.5,2000-09-29
730758,12,13,3,3,1,2,2000-09-29
730772,1,9,4,1,3,-0.666666667,2000-10-13
730772,2,20,3,6,2,2,2000-10-13
730772,3,13,3,7,3,1.333333333,2000-10-13
730772,4,10,2,7,3,1.333333333,2000-10-13
730772,5,10,3,6,3,1,2000-10-13
730772,6,13,3,6,3,1,2000-10-13
730772,7,6,3,1,1,0,2000-10-13
730772,8,11,3,6,3,1,2000-10-13
730772,9,14,1,4,3,0.333333333,2000-10-13
730772,11,11,2,6,4,0.5,2000-10-13
730785,1,14,2,5,4,0.25,2000-10-26
730785,2,19,2,9,5,0.8,2000-10-26
730785,3,10,2,10,3,2.333333333,2000-10-26
730785,4,13,2,5,3,0.666666667,2000-10-26
730785,5,18,2,6,3,1,2000-10-26
730785,6,17,3,9,4,1.25,2000-10-26
730785,8,20,2,6,3,1,2000-10-26
730785,9,7,3,5,6,-0.166666667,2000-10-26
730785,11,15,1,4,2,1,2000-10-26
730785,12,12,1,11,4,1.75,2000-10-26
730832,1,11,3,10,5,1,2000-12-12
730832,4,15,3,18,2,8,2000-12-12
730832,5,7,1,1,1,0,2000-12-12
730832,6,16,3,8,1,7,2000-12-12
730832,7,17,2,10,3,2.333333333,2000-12-12
730832,9,17,2,4,4,0,2000-12-12
730832,10,12,3,6,1,5,2000-12-12
730832,11,6,2,5,2,1.5,2000-12-12
730832,12,13,1,2,NaN,NaN,2000-12-12
730847,1,16,4,7,3,1.333333333,2000-12-27
730847,2,13,1,12,3,3,2000-12-27
730847,3,13,1,4,4,0,2000-12-27
730847,4,9,2,4,2,1,2000-12-27
730847,5,10,2,3,1,2,2000-12-27
730847,6,13,2,5,3,0.666666667,2000-12-27
730847,7,12,2,4,3,0.333333333,2000-12-27
730847,8,17,2,5,4,0.25,2000-12-27
730847,9,20,3,10,3,2.333333333,2000-12-27
730847,10,17,3,10,4,1.5,2000-12-27
730847,11,31,3,14,4,2.5,2000-12-27
730847,12,14,1,6,3,1,2000-12-27
